Description,Price,Location,Beds,Baths,Area,Developer,Tags,Property type,Cashback,Location depth,Emirate,Specific location,District,Verified,SuperAgent,First Sale,New,Net price,Cashback percent,Price per sqft,Price_M
Villa - 4 Bedrooms - 5 Bathrooms for sale in District One Phase III - District One - Mohammed Bin Rashid City - Dubai,18999000.0,"District One Phase III, District One, Mohammed Bin Rashid City, Dubai",4.0,5.0,6832.0,Union Square House Real Estate ,"Verified, SuperAgent",Villa,40000.0,4,Dubai,District One Phase III,"District One,  Mohammed Bin Rashid City",1,1,0,0,18959000.0,0.0021053739670508975,2780.884074941452,19.0
Villa - 5 Bedrooms - 7 Bathrooms for sale in Al Helio 2 - Al Helio - Ajman,2020000.0,"Al Helio 2, Al Helio, Ajman",5.0,7.0,4000.0,HONEST REAL ESTATE ,"SuperAgent, First Sale",Villa,0.0,3,Ajman,Al Helio 2,Al Helio,0,1,1,0,2020000.0,0.0,505.0,2.02
Apartment - 1 Bedroom - 1 Bathroom for sale in Binghatti Cullinan - Al Jaddaf - Dubai,1402999.0,"Binghatti Cullinan, Al Jaddaf, Dubai",1.0,1.0,668.0,Union Square House Real Estate ,"SuperAgent, First Sale",Apartment,0.0,3,Dubai,Binghatti Cullinan,Al Jaddaf,0,1,1,0,1402999.0,0.0,2100.297904191617,1.4
Apartment - 3 Bedrooms - 4 Bathrooms for sale in Jumeirah Gate Tower 2 - The Address Jumeirah Resort and Spa - Jumeirah Beach Residence - Dubai,11000000.0,"Jumeirah Gate Tower 2, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",3.0,4.0,1927.0,Metropolitan Premium Properties ,"Verified, SuperAgent",Apartment,24000.0,4,Dubai,Jumeirah Gate Tower 2,"The Address Jumeirah Resort and Spa,  Jumeirah Beach Residence",1,1,0,0,10976000.0,0.002181818181818182,5708.354955889984,11.0
Apartment - 1 Bedroom - 1 Bathroom for sale in Golf Heights - The Views - Dubai,2509974.0,"Golf Heights, The Views, Dubai",1.0,1.0,753.0,Metropolitan Premium Properties ,"Verified, SuperAgent",Apartment,0.0,3,Dubai,Golf Heights,The Views,1,1,0,0,2509974.0,0.0,3333.2988047808767,2.51
Penthouse - 3 Bedrooms - 3 Bathrooms for sale in Golf Heights - The Views - Dubai,6000000.0,"Golf Heights, The Views, Dubai",3.0,3.0,1916.0,Metropolitan Premium Properties ,"Verified, SuperAgent",Penthouse,0.0,3,Dubai,Golf Heights,The Views,1,1,0,0,6000000.0,0.0,3131.5240083507306,6.0
Apartment - 3 Bedrooms - 5 Bathrooms for sale in Marina Gate 2 - Marina Gate - Dubai Marina - Dubai,6500000.0,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai",3.0,5.0,1812.0,Metropolitan Premium Properties ,"Verified, SuperAgent",Apartment,14000.0,4,Dubai,Marina Gate 2,"Marina Gate,  Dubai Marina",1,1,0,0,6486000.0,0.0021538461538461538,3587.19646799117,6.5
Villa - 5 Bedrooms - 7 Bathrooms for sale in Al Rawda 2 Villas - Al Rawda 2 - Al Rawda - Ajman,2900000.0,"Al Rawda 2 Villas, Al Rawda 2, Al Rawda, Ajman",5.0,7.0,5000.0,AL MARENA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Villa,0.0,4,Ajman,Al Rawda 2 Villas,"Al Rawda 2,  Al Rawda",0,1,1,0,2900000.0,0.0,580.0,2.9
Apartment - 1 Bedroom - 1 Bathroom for sale in Palace Residences Hillside A - Palace Residences Hillside - Dubai Hills Estate - Dubai,1815888.0,"Palace Residences Hillside A, Palace Residences Hillside, Dubai Hills Estate, Dubai",1.0,1.0,681.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,4,Dubai,Palace Residences Hillside A,"Palace Residences Hillside,  Dubai Hills Estate",0,1,1,0,1815888.0,0.0,2666.5022026431716,1.82
Villa - 7 Bedrooms - 7 Bathrooms for sale in Venice - Damac Lagoons - Dubai,12225000.0,"Venice, Damac Lagoons, Dubai",7.0,7.0,7176.0,The Network ,"Verified, SuperAgent",Villa,0.0,3,Dubai,Venice,Damac Lagoons,1,1,0,0,12225000.0,0.0,1703.5953177257525,12.22
Townhouse - 4 Bedrooms - 4 Bathrooms for sale in Violet 1 - Violet - Damac Hills 2 - Dubai,1799998.0,"Violet 1, Violet, Damac Hills 2, Dubai",4.0,4.0,1208.0,BITS Real Estate Brokers L.L.C. ,"Verified, SuperAgent",Townhouse,0.0,4,Dubai,Violet 1,"Violet,  Damac Hills 2",1,1,0,0,1799998.0,0.0,1490.0645695364237,1.8
Apartment - 2 Bedrooms - 2 Bathrooms for sale in Treppan Serenique Residences - Dubai Islands - Dubai,2853000.0,"Treppan Serenique Residences, Dubai Islands, Dubai",2.0,2.0,989.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Dubai,Treppan Serenique Residences,Dubai Islands,0,1,1,0,2853000.0,0.0,2884.732052578362,2.85
Apartment - 1 Bedroom - 2 Bathrooms for sale in Lia by Avenew - Dubai Islands - Dubai,2000000.0,"Lia by Avenew, Dubai Islands, Dubai",1.0,2.0,831.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Dubai,Lia by Avenew,Dubai Islands,0,1,1,0,2000000.0,0.0,2406.7388688327314,2.0
Apartment - 3 Bedrooms - 4 Bathrooms for sale in Artistry Two Residences - Dubai Design District - Dubai,6397000.0,"Artistry Two Residences, Dubai Design District, Dubai",3.0,4.0,1965.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Dubai,Artistry Two Residences,Dubai Design District,0,1,1,0,6397000.0,0.0,3255.470737913486,6.4
Apartment - 2 Bedrooms - 3 Bathrooms for sale in Artistry Two Residences - Dubai Design District - Dubai,4704000.0,"Artistry Two Residences, Dubai Design District, Dubai",2.0,3.0,1468.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Dubai,Artistry Two Residences,Dubai Design District,0,1,1,0,4704000.0,0.0,3204.359673024523,4.7
Apartment - 4 Bedrooms - 5 Bathrooms for sale in The Edit at D3 Tower A - The Edit at D3 - Dubai Design District - Dubai,10894000.0,"The Edit at D3 Tower A, The Edit at D3, Dubai Design District, Dubai",4.0,5.0,2813.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,4,Dubai,The Edit at D3 Tower A,"The Edit at D3,  Dubai Design District",0,1,1,0,10894000.0,0.0,3872.7337362246712,10.89
Apartment - 3 Bedrooms - 4 Bathrooms for sale in The Edit at D3 Tower A - The Edit at D3 - Dubai Design District - Dubai,7717000.0,"The Edit at D3 Tower A, The Edit at D3, Dubai Design District, Dubai",3.0,4.0,2154.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,4,Dubai,The Edit at D3 Tower A,"The Edit at D3,  Dubai Design District",0,1,1,0,7717000.0,0.0,3582.63695450325,7.72
Apartment - 2 Bedrooms - 3 Bathrooms for sale in The Edit at D3 Tower A - The Edit at D3 - Dubai Design District - Dubai,4146000.0,"The Edit at D3 Tower A, The Edit at D3, Dubai Design District, Dubai",2.0,3.0,1266.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,4,Dubai,The Edit at D3 Tower A,"The Edit at D3,  Dubai Design District",0,1,1,0,4146000.0,0.0,3274.8815165876777,4.15
Apartment - 2 Bedrooms - 3 Bathrooms for sale in The Chedi Private Residences - Barsha Heights (Tecom) - Dubai,10237986.0,"The Chedi Private Residences, Barsha Heights (Tecom), Dubai",2.0,3.0,3556.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Dubai,The Chedi Private Residences,Barsha Heights (Tecom),0,1,1,0,10237986.0,0.0,2879.0736782902136,10.24
Apartment - 1 Bedroom - 1 Bathroom for sale in Artistry Two Residences - Dubai Design District - Dubai,2292000.0,"Artistry Two Residences, Dubai Design District, Dubai",1.0,1.0,764.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Dubai,Artistry Two Residences,Dubai Design District,0,1,1,0,2292000.0,0.0,3000.0,2.29
Townhouse - 3 Bedrooms - 4 Bathrooms for sale in Mudon Al Ranim 3 - Mudon - Dubai,3700000.0,"Mudon Al Ranim 3, Mudon, Dubai",3.0,4.0,1830.0,Gold Mark Real Estate ,"Verified, SuperAgent",Townhouse,0.0,3,Dubai,Mudon Al Ranim 3,Mudon,1,1,0,0,3700000.0,0.0,2021.8579234972678,3.7
Townhouse - 4 Bedrooms - 4 Bathrooms for sale in Mudon Al ranim 4 - Mudon - Dubai,5490000.0,"Mudon Al ranim 4, Mudon, Dubai",4.0,4.0,2836.0,Gold Mark Real Estate ,"Verified, SuperAgent",Townhouse,12000.0,3,Dubai,Mudon Al ranim 4,Mudon,1,1,0,0,5478000.0,0.002185792349726776,1935.8251057827927,5.49
Villa - 5 Bedrooms - 7 Bathrooms for sale in Al Helio 2 - Al Helio - Ajman,2600000.0,"Al Helio 2, Al Helio, Ajman",5.0,7.0,4500.0,HONEST REAL ESTATE ,"SuperAgent, First Sale",Villa,0.0,3,Ajman,Al Helio 2,Al Helio,0,1,1,0,2600000.0,0.0,577.7777777777778,2.6
Villa - 5 Bedrooms - 7 Bathrooms for sale in Al Yasmeen 1 - Al Yasmeen - Ajman,1650000.0,"Al Yasmeen 1, Al Yasmeen, Ajman",5.0,7.0,3014.0,HONEST REAL ESTATE ,SuperAgent,Villa,0.0,3,Ajman,Al Yasmeen 1,Al Yasmeen,0,1,0,0,1650000.0,0.0,547.4452554744526,1.65
Villa - 4 Bedrooms - 4 Bathrooms for sale in Jebel Ali Village Townhouses - Jebel Ali Village - Jebel Ali - Dubai,7800000.0,"Jebel Ali Village Townhouses, Jebel Ali Village, Jebel Ali, Dubai",4.0,4.0,5145.0,TAVIAN PROPERTIES L.L.C ,"Verified, SuperAgent",Villa,0.0,4,Dubai,Jebel Ali Village Townhouses,"Jebel Ali Village,  Jebel Ali",1,1,0,0,7800000.0,0.0,1516.0349854227404,7.8
Land - Studio for sale in Al Warsan 1 - Al Warsan - Dubai,15000000.0,"Al Warsan 1, Al Warsan, Dubai",0.0,0.0,13600.0,Mastermind Real Estate ,SuperAgent,Land,0.0,3,Dubai,Al Warsan 1,Al Warsan,0,1,0,0,15000000.0,0.0,1102.9411764705883,15.0
Land - Studio for sale in Al Warsan 1 - Al Warsan - Dubai,12500000.0,"Al Warsan 1, Al Warsan, Dubai",0.0,0.0,11600.0,Mastermind Real Estate ,SuperAgent,Land,27000.0,3,Dubai,Al Warsan 1,Al Warsan,0,1,0,0,12473000.0,0.00216,1077.5862068965516,12.5
Land - Studio for sale in Pearl Jumeirah Villas - Pearl Jumeirah - Jumeirah - Dubai,19000000.0,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai",0.0,0.0,11000.0,Mastermind Real Estate ,SuperAgent,Land,40000.0,4,Dubai,Pearl Jumeirah Villas,"Pearl Jumeirah,  Jumeirah",0,1,0,0,18960000.0,0.002105263157894737,1727.2727272727273,19.0
Townhouse - 4 Bedrooms - 4 Bathrooms for sale in Mudon Al ranim 4 - Mudon - Dubai,4490000.0,"Mudon Al ranim 4, Mudon, Dubai",4.0,4.0,2549.0,Gold Mark Real Estate ,"Verified, SuperAgent",Townhouse,0.0,3,Dubai,Mudon Al ranim 4,Mudon,1,1,0,0,4490000.0,0.0,1761.4750882699097,4.49
Townhouse - 3 Bedrooms - 4 Bathrooms for sale in Mudon Al ranim 4 - Mudon - Dubai,3799999.0,"Mudon Al ranim 4, Mudon, Dubai",3.0,4.0,2217.0,Gold Mark Real Estate ,"Verified, SuperAgent",Townhouse,0.0,3,Dubai,Mudon Al ranim 4,Mudon,1,1,0,0,3799999.0,0.0,1714.0275146594497,3.8
Villa - 4 Bedrooms - 6 Bathrooms for sale in Al Helio 2 - Al Helio - Ajman,1450000.0,"Al Helio 2, Al Helio, Ajman",4.0,6.0,3000.0,AL MARENA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Villa,0.0,3,Ajman,Al Helio 2,Al Helio,0,1,1,0,1450000.0,0.0,483.3333333333333,1.45
Apartment - 2 Bedrooms - 3 Bathrooms for sale in Muheira - Al Reem Island - Abu Dhabi,2518130.0,"Muheira, Al Reem Island, Abu Dhabi",2.0,3.0,1215.0,Al Mira Real Estate ,SuperAgent,Apartment,0.0,3,Abu Dhabi,Muheira,Al Reem Island,0,1,0,0,2518130.0,0.0,2072.534979423868,2.52
Villa - 5 Bedrooms - 7 Bathrooms for sale in Nawayef West - Al Hudayriat Island - Abu Dhabi,15760000.0,"Nawayef West, Al Hudayriat Island, Abu Dhabi",5.0,7.0,4648.0,Al Sultan International Real Estate LLC ,"SuperAgent, New",Villa,0.0,3,Abu Dhabi,Nawayef West,Al Hudayriat Island,0,1,0,1,15760000.0,0.0,3390.705679862306,15.76
Apartment - 3 Bedrooms - 5 Bathrooms for sale in Apartment Building 7 - Bluewaters Residences - Bluewaters - Dubai,16800000.0,"Apartment Building 7, Bluewaters Residences, Bluewaters, Dubai",3.0,5.0,2109.0,WHITEWILL REAL ESTATE BROKERS L.L.C ,"Verified, SuperAgent",Apartment,36000.0,4,Dubai,Apartment Building 7,"Bluewaters Residences,  Bluewaters",1,1,0,0,16764000.0,0.002142857142857143,7965.860597439545,16.8
Duplex - 2 Bedrooms - 3 Bathrooms for sale in Jumeirah Living - World Trade Centre Residence - World Trade Center - Dubai,3750000.0,"Jumeirah Living, World Trade Centre Residence, World Trade Center, Dubai",2.0,3.0,2270.0,Blue Lagoons Real Estate ,"Verified, SuperAgent",Duplex,0.0,4,Dubai,Jumeirah Living,"World Trade Centre Residence,  World Trade Center",1,1,0,0,3750000.0,0.0,1651.9823788546255,3.75
Townhouse - 5 Bedrooms - 6 Bathrooms for sale in Portofino - Damac Lagoons - Dubai,3400000.0,"Portofino, Damac Lagoons, Dubai",5.0,6.0,2345.0,Luxven Real Estate ,"Verified, SuperAgent",Townhouse,0.0,3,Dubai,Portofino,Damac Lagoons,1,1,0,0,3400000.0,0.0,1449.8933901918977,3.4
Apartment - 1 Bedroom - 2 Bathrooms for sale in Tonino Lamborghini Residence - Al Marjan Island - Ras Al Khaimah,2772081.0,"Tonino Lamborghini Residence, Al Marjan Island, Ras Al Khaimah",1.0,2.0,669.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Tonino Lamborghini Residence,Al Marjan Island,0,1,1,0,2772081.0,0.0,4143.6188340807175,2.77
Apartment - 2 Bedrooms - 3 Bathrooms for sale in Tonino Lamborghini Residence - Al Marjan Island - Ras Al Khaimah,4223212.0,"Tonino Lamborghini Residence, Al Marjan Island, Ras Al Khaimah",2.0,3.0,1108.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Tonino Lamborghini Residence,Al Marjan Island,0,1,1,0,4223212.0,0.0,3811.5631768953067,4.22
Duplex - 1 Bedroom - 2 Bathrooms for sale in Arthouse Residences - Al Marjan Island - Ras Al Khaimah,3650700.0,"Arthouse Residences, Al Marjan Island, Ras Al Khaimah",1.0,2.0,1698.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Duplex,0.0,3,Ras Al Khaimah,Arthouse Residences,Al Marjan Island,0,1,1,0,3650700.0,0.0,2150.0,3.65
Apartment - 1 Bedroom - 1 Bathroom for sale in Arthouse Residences - Al Marjan Island - Ras Al Khaimah,1583400.0,"Arthouse Residences, Al Marjan Island, Ras Al Khaimah",1.0,1.0,609.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Arthouse Residences,Al Marjan Island,0,1,1,0,1583400.0,0.0,2600.0,1.58
Apartment - 2 Bedrooms - 2 Bathrooms for sale in Miraggio - Al Marjan Island - Ras Al Khaimah,3730000.0,"Miraggio, Al Marjan Island, Ras Al Khaimah",2.0,2.0,1431.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Miraggio,Al Marjan Island,0,1,1,0,3730000.0,0.0,2606.568832983927,3.73
Apartment - 1 Bedroom - 1 Bathroom for sale in Miraggio - Al Marjan Island - Ras Al Khaimah,2830000.0,"Miraggio, Al Marjan Island, Ras Al Khaimah",1.0,1.0,907.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Miraggio,Al Marjan Island,0,1,1,0,2830000.0,0.0,3120.176405733186,2.83
Apartment - 3 Bedrooms - 4 Bathrooms for sale in Fairmont Residences - Al Marjan Island - Ras Al Khaimah,6499900.0,"Fairmont Residences, Al Marjan Island, Ras Al Khaimah",3.0,4.0,2358.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Fairmont Residences,Al Marjan Island,0,1,1,0,6499900.0,0.0,2756.5309584393553,6.5
Apartment - 1 Bedroom - 1 Bathroom for sale in Nasim Al Bahr Residences - Al Marjan Island - Ras Al Khaimah,3510000.0,"Nasim Al Bahr Residences, Al Marjan Island, Ras Al Khaimah",1.0,1.0,976.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Nasim Al Bahr Residences,Al Marjan Island,0,1,1,0,3510000.0,0.0,3596.311475409836,3.51
Apartment - 1 Bedroom - 1 Bathroom for sale in JW Marriott Residences - Al Marjan Island - Ras Al Khaimah,3192534.0,"JW Marriott Residences, Al Marjan Island, Ras Al Khaimah",1.0,1.0,956.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,JW Marriott Residences,Al Marjan Island,0,1,1,0,3192534.0,0.0,3339.470711297071,3.19
Apartment - 2 Bedrooms - 2 Bathrooms for sale in W Hotel and Residences - Al Marjan Island - Ras Al Khaimah,6696000.0,"W Hotel and Residences, Al Marjan Island, Ras Al Khaimah",2.0,2.0,1614.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,W Hotel and Residences,Al Marjan Island,0,1,1,0,6696000.0,0.0,4148.698884758364,6.7
Apartment - 1 Bedroom - 1 Bathroom for sale in W Hotel and Residences - Al Marjan Island - Ras Al Khaimah,4054000.0,"W Hotel and Residences, Al Marjan Island, Ras Al Khaimah",1.0,1.0,1054.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,W Hotel and Residences,Al Marjan Island,0,1,1,0,4054000.0,0.0,3846.2998102466795,4.05
Apartment - 2 Bedrooms - 3 Bathrooms for sale in JW Marriott Residences - Al Marjan Island - Ras Al Khaimah,5479206.0,"JW Marriott Residences, Al Marjan Island, Ras Al Khaimah",2.0,3.0,1427.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,JW Marriott Residences,Al Marjan Island,0,1,1,0,5479206.0,0.0,3839.6678346180797,5.48
Apartment - 3 Bedrooms - 3 Bathrooms for sale in Address Residences - Al Marjan Island - Ras Al Khaimah,5671888.0,"Address Residences, Al Marjan Island, Ras Al Khaimah",3.0,3.0,2082.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Address Residences,Al Marjan Island,0,1,1,0,5671888.0,0.0,2724.2497598463015,5.67
Apartment - 1 Bedroom - 1 Bathroom for sale in Fairmont Residences - Al Marjan Island - Ras Al Khaimah,2490000.0,"Fairmont Residences, Al Marjan Island, Ras Al Khaimah",1.0,1.0,856.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Fairmont Residences,Al Marjan Island,0,1,1,0,2490000.0,0.0,2908.878504672897,2.49
Apartment - 2 Bedrooms - 2 Bathrooms for sale in Fairmont Residences - Al Marjan Island - Ras Al Khaimah,4382644.0,"Fairmont Residences, Al Marjan Island, Ras Al Khaimah",2.0,2.0,1425.0,HOUSINOVA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Apartment,0.0,3,Ras Al Khaimah,Fairmont Residences,Al Marjan Island,0,1,1,0,4382644.0,0.0,3075.539649122807,4.38
Apartment - 1 Bedroom - 2 Bathrooms for sale in Index Tower - DIFC - Dubai,2800000.0,"Index Tower, DIFC, Dubai",1.0,2.0,1133.0,Edifice Brokerage ,"Verified, SuperAgent",Apartment,0.0,3,Dubai,Index Tower,DIFC,1,1,0,0,2800000.0,0.0,2471.315092674316,2.8
Villa - 3 Bedrooms - 4 Bathrooms for sale in Alvorada 4 - Alvorada - Arabian Ranches - Dubai,11999999.0,"Alvorada 4, Alvorada, Arabian Ranches, Dubai",3.0,4.0,7596.0,Jade & Co Real Estate ,"Verified, SuperAgent",Villa,26000.0,4,Dubai,Alvorada 4,"Alvorada,  Arabian Ranches",1,1,0,0,11973999.0,0.002166666847222237,1579.778699315429,12.0
Villa - 4 Bedrooms - 5 Bathrooms for sale in Al Helio 2 - Al Helio - Ajman,1700000.0,"Al Helio 2, Al Helio, Ajman",4.0,5.0,3014.0,AL MARENA REAL ESTATE L.L.C ,"SuperAgent, First Sale",Villa,0.0,3,Ajman,Al Helio 2,Al Helio,0,1,1,0,1700000.0,0.0,564.0345056403451,1.7
Apartment - 3 Bedrooms - 4 Bathrooms for sale in D1 Tower - Culture Village - Dubai,3500000.0,"D1 Tower, Culture Village, Dubai",3.0,4.0,1895.0,Zed Capital Real Estate ,"Verified, SuperAgent",Apartment,0.0,3,Dubai,D1 Tower,Culture Village,1,1,0,0,3500000.0,0.0,1846.9656992084433,3.5
Apartment - 2 Bedrooms - 3 Bathrooms for sale in Burj Daman - DIFC - Dubai,6500000.0,"Burj Daman, DIFC, Dubai",2.0,3.0,1884.0,Edifice Brokerage ,"Verified, SuperAgent",Apartment,14000.0,3,Dubai,Burj Daman,DIFC,1,1,0,0,6486000.0,0.0021538461538461538,3450.1061571125265,6.5
Villa - 4 Bedrooms - 4 Bathrooms for sale in Ostra Palace - The Oasis by Emaar - Dubai,15400000.0,"Ostra Palace, The Oasis by Emaar, Dubai",4.0,4.0,10112.0,R N S REAL ESTATE BROKERAGE L.L.C ,"Verified, SuperAgent",Villa,0.0,3,Dubai,Ostra Palace,The Oasis by Emaar,1,1,0,0,15400000.0,0.0,1522.9430379746836,15.4
Apartment - 2 Bedrooms - 3 Bathrooms for sale in Apartment Building 2 - Bluewaters Residences - Bluewaters - Dubai,11300000.0,"Apartment Building 2, Bluewaters Residences, Bluewaters, Dubai",2.0,3.0,1488.0,WHITEWILL REAL ESTATE BROKERS L.L.C ,"Verified, SuperAgent",Apartment,24000.0,4,Dubai,Apartment Building 2,"Bluewaters Residences,  Bluewaters",1,1,0,0,11276000.0,0.0021238938053097347,7594.086021505376,11.3
Apartment - 3 Bedrooms - 5 Bathrooms for sale in The Sustainable City - Yas Island - Yas Island - Abu Dhabi,3350000.0,"The Sustainable City - Yas Island, Yas Island, Abu Dhabi",3.0,5.0,1555.0,Al Mira Real Estate ,SuperAgent,Apartment,0.0,3,Abu Dhabi,The Sustainable City - Yas Island,Yas Island,0,1,0,0,3350000.0,0.0,2154.340836012862,3.35
